"Notes"	"State of Residence"	"State of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	Births
	"Alabama"	"01"	"Black or African American"	"2054-5"	118034
	"Alabama"	"01"	"White"	"2106-3"	271703
"Total"	"Alabama"	"01"			389737
	"Alaska"	"02"	"Black or African American"	"2054-5"	2165
	"Alaska"	"02"	"White"	"2106-3"	37598
"Total"	"Alaska"	"02"			39763
	"Arizona"	"04"	"Black or African American"	"2054-5"	34802
	"Arizona"	"04"	"White"	"2106-3"	446731
"Total"	"Arizona"	"04"			481533
	"Arkansas"	"05"	"Black or African American"	"2054-5"	47693
	"Arkansas"	"05"	"White"	"2106-3"	186095
"Total"	"Arkansas"	"05"			233788
	"California"	"06"	"Black or African American"	"2054-5"	166851
	"California"	"06"	"White"	"2106-3"	2196673
"Total"	"California"	"06"			2363524
	"Colorado"	"08"	"Black or African American"	"2054-5"	25297
	"Colorado"	"08"	"White"	"2106-3"	372890
"Total"	"Colorado"	"08"			398187
	"Connecticut"	"09"	"Black or African American"	"2054-5"	37330
	"Connecticut"	"09"	"White"	"2106-3"	182014
"Total"	"Connecticut"	"09"			219344
	"Delaware"	"10"	"Black or African American"	"2054-5"	21233
	"Delaware"	"10"	"White"	"2106-3"	45544
"Total"	"Delaware"	"10"			66777
	"District of Columbia"	"11"	"Black or African American"	"2054-5"	27891
	"District of Columbia"	"11"	"White"	"2106-3"	26573
"Total"	"District of Columbia"	"11"			54464
	"Florida"	"12"	"Black or African American"	"2054-5"	357002
	"Florida"	"12"	"White"	"2106-3"	1101390
"Total"	"Florida"	"12"			1458392
	"Georgia"	"13"	"Black or African American"	"2054-5"	305184
	"Georgia"	"13"	"White"	"2106-3"	505726
"Total"	"Georgia"	"13"			810910
	"Hawaii"	"15"	"Black or African American"	"2054-5"	2581
	"Hawaii"	"15"	"White"	"2106-3"	28360
"Total"	"Hawaii"	"15"			30941
	"Idaho"	"16"	"Black or African American"	"2054-5"	2238
	"Idaho"	"16"	"White"	"2106-3"	143917
"Total"	"Idaho"	"16"			146155
	"Illinois"	"17"	"Black or African American"	"2054-5"	150700
	"Illinois"	"17"	"White"	"2106-3"	698019
"Total"	"Illinois"	"17"			848719
	"Indiana"	"18"	"Black or African American"	"2054-5"	73893
	"Indiana"	"18"	"White"	"2106-3"	454930
"Total"	"Indiana"	"18"			528823
	"Iowa"	"19"	"Black or African American"	"2054-5"	19461
	"Iowa"	"19"	"White"	"2106-3"	221014
"Total"	"Iowa"	"19"			240475
	"Kansas"	"20"	"Black or African American"	"2054-5"	17519
	"Kansas"	"20"	"White"	"2106-3"	208681
"Total"	"Kansas"	"20"			226200
	"Kentucky"	"21"	"Black or African American"	"2054-5"	37606
	"Kentucky"	"21"	"White"	"2106-3"	312871
"Total"	"Kentucky"	"21"			350477
	"Louisiana"	"22"	"Black or African American"	"2054-5"	152876
	"Louisiana"	"22"	"White"	"2106-3"	227642
"Total"	"Louisiana"	"22"			380518
	"Maine"	"23"	"Black or African American"	"2054-5"	4541
	"Maine"	"23"	"White"	"2106-3"	74725
"Total"	"Maine"	"23"			79266
	"Maryland"	"24"	"Black or African American"	"2054-5"	155052
	"Maryland"	"24"	"White"	"2106-3"	270515
"Total"	"Maryland"	"24"			425567
	"Massachusetts"	"25"	"Black or African American"	"2054-5"	70366
	"Massachusetts"	"25"	"White"	"2106-3"	352081
"Total"	"Massachusetts"	"25"			422447
	"Michigan"	"26"	"Black or African American"	"2054-5"	131639
	"Michigan"	"26"	"White"	"2106-3"	543870
"Total"	"Michigan"	"26"			675509
	"Minnesota"	"27"	"Black or African American"	"2054-5"	56749
	"Minnesota"	"27"	"White"	"2106-3"	336137
"Total"	"Minnesota"	"27"			392886
	"Mississippi"	"28"	"Black or African American"	"2054-5"	105179
	"Mississippi"	"28"	"White"	"2106-3"	134178
"Total"	"Mississippi"	"28"			239357
	"Missouri"	"29"	"Black or African American"	"2054-5"	69816
	"Missouri"	"29"	"White"	"2106-3"	385571
"Total"	"Missouri"	"29"			455387
	"Montana"	"30"	"Black or African American"	"2054-5"	539
	"Montana"	"30"	"White"	"2106-3"	66535
"Total"	"Montana"	"30"			67074
	"Nebraska"	"31"	"Black or African American"	"2054-5"	12659
	"Nebraska"	"31"	"White"	"2106-3"	144471
"Total"	"Nebraska"	"31"			157130
	"Nevada"	"32"	"Black or African American"	"2054-5"	33259
	"Nevada"	"32"	"White"	"2106-3"	166275
"Total"	"Nevada"	"32"			199534
	"New Hampshire"	"33"	"Black or African American"	"2054-5"	2409
	"New Hampshire"	"33"	"White"	"2106-3"	77115
"Total"	"New Hampshire"	"33"			79524
	"New Jersey"	"34"	"Black or African American"	"2054-5"	117292
	"New Jersey"	"34"	"White"	"2106-3"	496630
"Total"	"New Jersey"	"34"			613922
	"New Mexico"	"35"	"Black or African American"	"2054-5"	3747
	"New Mexico"	"35"	"White"	"2106-3"	124667
"Total"	"New Mexico"	"35"			128414
	"New York"	"36"	"Black or African American"	"2054-5"	280078
	"New York"	"36"	"White"	"2106-3"	1009552
"Total"	"New York"	"36"			1289630
	"North Carolina"	"37"	"Black or African American"	"2054-5"	210994
	"North Carolina"	"37"	"White"	"2106-3"	550781
"Total"	"North Carolina"	"37"			761775
	"North Dakota"	"38"	"Black or African American"	"2054-5"	4720
	"North Dakota"	"38"	"White"	"2106-3"	55447
"Total"	"North Dakota"	"38"			60167
	"Ohio"	"39"	"Black or African American"	"2054-5"	154429
	"Ohio"	"39"	"White"	"2106-3"	696053
